Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player_Link
15,DeMar DeRozan,35,SAC,SF,77,77,2768,624,1308,.477,84,256,.328,540,1052,.513,.509,378,441,.857,50,248,298,342,62,32,105,150,1710,0,,https://www.basketball-reference.com/players/d/derozde01.html
16,LeBron James,40,LAL,SF,70,70,2444,651,1270,.513,149,396,.376,502,874,.574,.571,259,331,.782,72,474,546,575,70,39,260,99,1710,10,"MVP-6,CPOY-7,AS,NBA2",https://www.basketball-reference.com/players/j/jamesle01.html
17,Donovan Mitchell,28,CLE,SG,71,71,2232,585,1320,.443,233,633,.368,352,687,.512,.531,298,362,.823,57,265,322,354,95,17,149,140,1701,0,"MVP-5,CPOY-9,AS,NBA1",https://www.basketball-reference.com/players/m/mitchdo01.html
18,Jalen Brunson,28,NYK,PG,65,65,2301,585,1200,.488,152,397,.383,433,803,.539,.551,368,448,.821,27,160,187,475,60,8,164,138,1690,0,"MVP-10,CPOY-1,AS,NBA2",https://www.basketball-reference.com/players/b/brunsja01.html
19,Kevin Durant,36,PHO,PF,62,62,2265,592,1124,.527,160,372,.430,432,752,.574,.598,303,361,.839,23,351,374,263,50,77,190,104,1647,0,AS,https://www.basketball-reference.com/players/d/duranke01.html
20,Jaren Jackson Jr.,25,MEM,C,74,74,2207,592,1213,.488,146,389,.375,446,824,.541,.548,311,398,.781,91,326,417,148,92,113,153,257,1641,0,"DPOY-7,AS,DEF2",https://www.basketball-reference.com/players/j/jacksja02.html
21,Pascal Siakam,30,IND,PF,78,78,2548,613,1182,.519,126,324,.389,487,858,.568,.572,226,308,.734,133,407,540,263,70,42,109,189,1578,0,AS,https://www.basketball-reference.com/players/s/siakapa01.html
22,Darius Garland,25,CLE,PG,75,75,2301,554,1174,.472,212,529,.401,342,645,.530,.562,224,255,.878,47,167,214,506,91,11,189,143,1544,0,"CPOY-6,AS",https://www.basketball-reference.com/players/g/garlada01.html
23,Coby White,24,CHI,SG,74,73,2450,508,1121,.453,216,584,.370,292,537,.544,.550,277,307,.902,25,248,273,330,69,16,177,154,1509,0,,https://www.basketball-reference.com/players/w/whiteco01.html
24,Jalen Williams,23,OKC,SG,69,69,2237,565,1168,.484,124,340,.365,441,828,.533,.537,236,299,.789,59,310,369,354,111,46,150,158,1490,0,"AS,NBA3,DEF2",https://www.basketball-reference.com/players/w/willija06.html
25,Austin Reaves,26,LAL,SG,73,73,2550,477,1037,.460,200,531,.377,277,506,.547,.556,321,366,.877,61,268,329,421,81,22,177,151,1475,1,,https://www.basketball-reference.com/players/r/reaveau01.html
26,De'Aaron Fox,27,2TM,PG,62,62,2241,539,1163,.463,118,381,.310,421,782,.538,.514,263,318,.827,54,244,298,392,91,25,174,164,1459,0,,https://www.basketball-reference.com/players/f/foxde01.html
26,De'Aaron Fox,27,SAC,PG,45,45,1663,414,883,.469,92,286,.322,322,597,.539,.521,204,246,.829,45,180,225,276,66,20,133,118,1124,0,,https://www.basketball-reference.com/players/f/foxde01.html
26,De'Aaron Fox,27,SAS,PG,17,17,578,125,280,.446,26,95,.274,99,185,.535,.493,59,72,.819,9,64,73,116,25,5,41,46,335,0,,https://www.basketball-reference.com/players/f/foxde01.html
27,Alperen Şengün,22,HOU,C,76,76,2395,567,1143,.496,21,90,.233,546,1053,.519,.505,296,428,.692,262,524,786,372,84,61,194,209,1451,4,AS,https://www.basketball-reference.com/players/s/sengual01.html
28,Franz Wagner,23,ORL,SF,60,60,2023,537,1161,.463,104,352,.295,433,809,.535,.507,271,311,.871,56,286,342,284,75,21,138,147,1449,0,,https://www.basketball-reference.com/players/w/wagnefr01.html
29,Damian Lillard,34,MIL,PG,58,58,2093,444,992,.448,197,524,.376,247,468,.528,.547,362,393,.921,29,243,272,410,70,10,162,97,1447,2,AS,https://www.basketball-reference.com/players/l/lillada01.html
30,Mikal Bridges,28,NYK,SF,82,82,3036,592,1183,.500,164,463,.354,428,720,.594,.570,96,118,.814,71,188,259,306,75,43,132,127,1444,0,,https://www.basketball-reference.com/players/b/bridgmi01.html
31,Jamal Murray,27,DEN,PG,67,67,2418,531,1121,.474,156,397,.393,375,724,.518,.543,218,246,.886,45,216,261,403,91,33,138,128,1436,0,,https://www.basketball-reference.com/players/m/murraja01.html
32,Bam Adebayo,27,MIA,C,78,78,2674,540,1113,.485,79,221,.357,461,892,.517,.521,251,328,.765,185,564,749,337,98,53,161,162,1410,1,DPOY-10,https://www.basketball-reference.com/players/a/adebaba01.html
33,Luka Dončić,25,2TM,PG,50,50,1769,461,1025,.450,177,481,.368,284,544,.522,.536,309,395,.782,40,369,409,383,89,21,179,126,1408,5,,https://www.basketball-reference.com/players/d/doncilu01.html
33,Luka Dončić,25,DAL,PG,22,22,785,216,466,.464,75,212,.354,141,254,.555,.544,112,146,.767,16,167,183,172,44,9,75,58,619,3,,https://www.basketball-reference.com/players/d/doncilu01.html
33,Luka Dončić,25,LAL,PG,28,28,984,245,559,.438,102,269,.379,143,290,.493,.530,197,249,.791,24,202,226,211,45,12,104,68,789,2,,https://www.basketball-reference.com/players/d/doncilu01.html
34,Jaylen Brown,28,BOS,SF,63,63,2158,518,1118,.463,116,358,.324,402,760,.529,.515,246,322,.764,82,286,368,286,73,19,162,154,1398,0,AS,https://www.basketball-reference.com/players/b/brownja02.html
35,Michael Porter Jr.,26,DEN,SF,77,77,2593,528,1048,.504,193,489,.395,335,559,.599,.596,149,194,.768,138,402,540,165,50,38,104,157,1398,0,,https://www.basketball-reference.com/players/p/portemi01.html
36,Jordan Poole,25,WAS,SG,68,68,2001,457,1057,.432,235,622,.378,222,435,.510,.544,242,274,.883,31,172,203,303,86,27,204,201,1391,0,,https://www.basketball-reference.com/players/p/poolejo01.html
37,Tyrese Maxey,24,PHI,PG,52,52,1960,477,1091,.437,161,478,.337,316,613,.515,.511,254,289,.879,15,159,174,317,91,21,124,116,1369,1,CPOY-10,https://www.basketball-reference.com/players/m/maxeyty01.html
38,Tyrese Haliburton,24,IND,PG,73,73,2451,476,1006,.473,218,562,.388,258,444,.581,.582,189,222,.851,42,216,258,673,105,49,120,92,1359,0,NBA3,https://www.basketball-reference.com/players/h/halibty01.html
39,Nikola Vučević,34,CHI,C,73,72,2278,550,1038,.530,129,321,.402,421,717,.587,.592,120,149,.805,178,557,735,256,61,52,119,163,1349,1,,https://www.basketball-reference.com/players/v/vucevni01.html
40,Anfernee Simons,25,POR,SG,70,70,2292,479,1125,.426,215,593,.363,264,532,.496,.521,175,194,.902,25,164,189,337,60,5,143,117,1348,0,,https://www.basketball-reference.com/players/s/simonan01.html
41,Ivica Zubac,27,LAC,C,80,80,2624,592,942,.628,0,0,,592,942,.628,.628,156,236,.661,300,710,1010,214,55,90,127,168,1340,1,"DPOY-6,DEF2",https://www.basketball-reference.com/players/z/zubaciv01.html
42,Domantas Sabonis,28,SAC,C,70,70,2429,527,893,.590,65,156,.417,462,737,.627,.627,218,289,.754,267,705,972,423,48,26,202,229,1337,10,,https://www.basketball-reference.com/players/s/sabondo01.html
43,Malik Beasley,28,DET,SG,82,18,2283,461,1071,.430,319,766,.416,142,305,.466,.579,95,140,.679,47,167,214,139,73,5,83,125,1336,0,6MOY-2,https://www.basketball-reference.com/players/b/beaslma01.html
44,Shaedon Sharpe,21,POR,SG,72,52,2252,499,1104,.452,147,472,.311,352,632,.557,.519,190,242,.785,68,256,324,198,62,16,150,120,1335,0,,https://www.basketball-reference.com/players/s/sharpsh01.html
45,OG Anunoby,27,NYK,PF,74,74,2706,489,1027,.476,171,460,.372,318,567,.561,.559,183,226,.810,97,261,358,164,110,65,102,172,1332,0,,https://www.basketball-reference.com/players/a/anunoog01.html
46,Desmond Bane,26,MEM,SG,69,68,2205,493,1018,.484,164,418,.392,329,600,.548,.565,177,198,.894,62,356,418,369,80,28,169,164,1327,1,,https://www.basketball-reference.com/players/b/banede01.html
47,Evan Mobley,23,CLE,PF,71,71,2167,505,906,.557,85,230,.370,420,676,.621,.604,221,305,.725,164,495,659,226,61,113,145,141,1316,0,"MVP-10,DPOY-1,AS,NBA2,DEF1",https://www.basketball-reference.com/players/m/mobleev01.html
48,Norman Powell,31,LAC,SG,60,60,1958,457,945,.484,179,428,.418,278,517,.538,.578,213,265,.804,21,169,190,125,73,9,108,114,1306,0,,https://www.basketball-reference.com/players/p/powelno01.html
49,Miles Bridges,26,CHO,PF,64,64,2029,469,1089,.431,141,450,.313,328,639,.513,.495,221,254,.870,72,409,481,248,44,45,136,93,1300,1,,https://www.basketball-reference.com/players/b/bridgmi02.html
50,Julius Randle,30,MIN,PF,69,69,2226,455,939,.485,108,314,.344,347,625,.555,.542,270,335,.806,144,343,487,323,47,16,196,175,1288,0,,https://www.basketball-reference.com/players/r/randlju01.html
