link,Name,Position,Shoots,Team,Born,Experience,Height_Weight
https://www.basketball-reference.com/players/d/davisan02.html,Anthony Davis,Center and Power Forward,Right,Dallas Mavericks,"March 11,
            1993
 (Age: 32-199d)

    in Chicago, Illinois",13 years,"6-10,253lb (208cm, 114kg)"
https://www.basketball-reference.com/players/v/valanjo01.html,Jonas Valančiūnas,Center,Right,Denver Nuggets,"May 6,
            1992
 (Age: 33-143d)

    in Utena, Lithuania",13 years,"6-11,265lb (211cm, 120kg)"
https://www.basketball-reference.com/players/h/holmgch01.html,Chet Holmgren,Center and Power Forward,Right,Oklahoma City Thunder,"May 1,
            2002
 (Age: 23-148d)

    in Minneapolis, Minnesota",2 years,"7-1,213lb (216cm, 96kg)"
https://www.basketball-reference.com/players/z/zubaciv01.html,Ivica Zubac,Center,Right,Los Angeles Clippers,"March 18,
            1997
 (Age: 28-192d)

    in Mostar, Bosnia and Herzegovina",9 years,"7-0,240lb (213cm, 108kg)"
https://www.basketball-reference.com/players/w/walkeke02.html,Kemba Walker,Point Guard,Right,,"May 8,
            1990
 (Age: 35-141d)

    in The Bronx, New York",,"6-0,184lb (183cm, 83kg)"
https://www.basketball-reference.com/players/s/sharpsh01.html,Shaedon Sharpe,Shooting Guard,Right,Portland Trail Blazers,"May 30,
            2003
 (Age: 22-119d)

    in London, Ontario",3 years,"6-6,200lb (198cm, 90kg)"
https://www.basketball-reference.com/players/s/simonan01.html,Anfernee Simons,Shooting Guard,Right,Boston Celtics,"June 8,
            1999
 (Age: 26-110d)

    in Longwood, Florida",7 years,"6-3,181lb (190cm, 82kg)"
https://www.basketball-reference.com/players/a/adebaba01.html,Bam Adebayo,Center and Power Forward,Right,Miami Heat,"July 18,
            1997
 (Age: 28-070d)

    in Newark, New Jersey",8 years,"6-9,255lb (206cm, 115kg)"
https://www.basketball-reference.com/players/t/thomaca02.html,Cam Thomas,Shooting Guard,Right,Brooklyn Nets,"October 13,
            2001
 (Age: 23-348d)

    in Yokosuka, Japan",4 years,"6-4,210lb (193cm, 95kg)"
https://www.basketball-reference.com/players/s/siakapa01.html,Pascal Siakam,Power Forward,Right,Indiana Pacers,"April 2,
            1994
 (Age: 31-177d)

    in Douala, Cameroon",9 years,"6-8,230lb (203cm, 104kg)"
https://www.basketball-reference.com/players/f/foxde01.html,De'Aaron Fox,Point Guard,Left,San Antonio Spurs,"December 20,
            1997
 (Age: 27-280d)

    in New Orleans, Louisiana",8 years,"6-3,185lb (190cm, 83kg)"
https://www.basketball-reference.com/players/h/harrito02.html,Tobias Harris,Power Forward and Small Forward,Right,Detroit Pistons,"July 15,
            1992
 (Age: 33-073d)

    in Islip, New York",14 years,"6-8,226lb (203cm, 102kg)"
https://www.basketball-reference.com/players/f/fournev01.html,Evan Fournier,Shooting Guard and Small Forward,Right,,"October 29,
            1992
 (Age: 32-332d)

    in Saint-Maurice, France",12 years,"6-6,205lb (198cm, 92kg)"
https://www.basketball-reference.com/players/h/hieldbu01.html,Buddy Hield,Shooting Guard and Small Forward,Right,Golden State Warriors,"December 17,
            1992
 (Age: 32-283d)

    in Freeport, Bahamas",9 years,"6-4,220lb (193cm, 99kg)"
https://www.basketball-reference.com/players/g/gilgesh01.html,Shai Gilgeous-Alexander,Point Guard and Shooting Guard,Right,Oklahoma City Thunder,"July 12,
            1998
 (Age: 27-076d)

    in Toronto, Ontario",7 years,"6-6,200lb (198cm, 90kg)"
https://www.basketball-reference.com/players/g/georgpa01.html,Paul George,"Small Forward, Power Forward, and Shooting Guard",Right,Philadelphia 76ers,"May 2,
            1990
 (Age: 35-147d)

    in Palmdale, California",15 years,"6-8,220lb (203cm, 99kg)"
https://www.basketball-reference.com/players/m/middlkh01.html,Khris Middleton,Small Forward and Shooting Guard,Right,Washington Wizards,"August 12,
            1991
 (Age: 34-045d)

    in Charleston, South Carolina",13 years,"6-7,222lb (201cm, 100kg)"
https://www.basketball-reference.com/players/r/redicjj01.html,JJ Redick,Shooting Guard and Point Guard,Right,,"June 24,
            1984
 (Age: 41-094d)

    in Cookeville, Tennessee",,"6-3,200lb (190cm, 90kg)"
https://www.basketball-reference.com/players/j/jokicni01.html,Nikola Jokić,Center,Right,Denver Nuggets,"February 19,
            1995
 (Age: 30-219d)

    in Sombor, Serbia",10 years,"6-11,284lb (211cm, 128kg)"
https://www.basketball-reference.com/players/h/halibty01.html,Tyrese Haliburton,Point Guard and Shooting Guard,Right,Indiana Pacers,"February 29,
            2000
 (Age: 25-209d)

    in Oshkosh, Wisconsin",5 years,"6-5,185lb (196cm, 83kg)"
https://www.basketball-reference.com/players/b/bridgmi01.html,Mikal Bridges,Small Forward and Shooting Guard,Right,New York Knicks,"August 30,
            1996
 (Age: 29-027d)

    in Philadelphia, Pennsylvania",7 years,"6-6,209lb (198cm, 94kg)"
https://www.basketball-reference.com/players/b/ballla01.html,LaMelo Ball,Point Guard,Right,Charlotte Hornets,"August 22,
            2001
 (Age: 24-035d)

    in Anaheim, California",5 years,"6-7,180lb (201cm, 81kg)"
https://www.basketball-reference.com/players/w/wiggian01.html,Andrew Wiggins,Small Forward and Power Forward,Right,Miami Heat,"February 23,
            1995
 (Age: 30-215d)

    in Toronto, Ontario",11 years,"6-7,197lb (201cm, 89kg)"
https://www.basketball-reference.com/players/g/goberru01.html,Rudy Gobert,Center,Right,Minnesota Timberwolves,"June 26,
            1992
 (Age: 33-092d)

    in Saint-Quentin, France",12 years,"7-1,258lb (216cm, 117kg)"
https://www.basketball-reference.com/players/g/grahade01.html,Devonte' Graham,Point Guard,Right,,"February 22,
            1995
 (Age: 30-216d)

    in Raleigh, North Carolina",6 years,"6-1,195lb (185cm, 88kg)"
https://www.basketball-reference.com/players/g/garlada01.html,Darius Garland,Point Guard and Shooting Guard,Right,Cleveland Cavaliers,"January 26,
            2000
 (Age: 25-243d)

    in Gary, Indiana",6 years,"6-1,192lb (185cm, 87kg)"
https://www.basketball-reference.com/players/b/butleji01.html,Jimmy Butler,"Small Forward, Shooting Guard, and Power Forward",Right,Golden State Warriors,"September 14,
            1989
 (Age: 36-012d)

    in Houston, Texas",14 years,"6-7,230lb (201cm, 104kg)"
https://www.basketball-reference.com/players/b/brookdi01.html,Dillon Brooks,Small Forward and Shooting Guard,Right,Phoenix Suns,"January 22,
            1996
 (Age: 29-247d)

    in Mississauga, Ontario",8 years,"6-6,225lb (198cm, 102kg)"
https://www.basketball-reference.com/players/r/russeda01.html,D'Angelo Russell,Point Guard,Left,Dallas Mavericks,"February 23,
            1996
 (Age: 29-215d)

    in Louisville, Kentucky",10 years,"6-3,193lb (190cm, 87kg)"
https://www.basketball-reference.com/players/a/anunoog01.html,OG Anunoby,Small Forward and Power Forward,Right,New York Knicks,"July 17,
            1997
 (Age: 28-071d)

    in London, United Kingdom",8 years,"6-7,232lb (201cm, 105kg)"
https://www.basketball-reference.com/players/s/schrode01.html,Dennis Schröder,Point Guard and Shooting Guard,Right,Sacramento Kings,"September 15,
            1993
 (Age: 32-011d)

    in Braunschweig, Germany",12 years,"6-1,172lb (185cm, 78kg)"
https://www.basketball-reference.com/players/b/beaslma01.html,Malik Beasley,Shooting Guard,Right,,"November 26,
            1996
 (Age: 28-304d)

    in Atlanta, Georgia",9 years,"6-4,187lb (193cm, 84kg)"
https://www.basketball-reference.com/players/d/duranke01.html,Kevin Durant,"Small Forward, Power Forward, and Shooting Guard",Right,Houston Rockets,"September 29,
            1988
 (Age: 36-362d)

    in Washington, District of Columbia",17 years,"6-11,240lb (211cm, 108kg)"
https://www.basketball-reference.com/players/h/hardati02.html,Tim Hardaway Jr.,Shooting Guard and Small Forward,Right,Denver Nuggets,"March 16,
            1992
 (Age: 33-194d)

    in Orinda, California",12 years,"6-5,205lb (196cm, 92kg)"
